amfi_code,Sortino_Ratio,Sortino_Rank
148567,2.3856,1
120843,2.3643,2
148569,2.1469,3
119551,2.1403,4
120505,2.0294,5
149323,1.8751,6
118632,1.8501,7
100033,1.8291,8
120504,1.8053,9
101206,1.7996,10
119094,1.7038,11
119598,1.6753,12
148568,1.6327,13
149324,1.6198,14
119552,1.6098,15
102885,1.4357,16
120503,1.3379,17
125497,1.3307,18
118633,1.1545,19
118635,1.138,20
120506,1.0959,21
102887,1.0888,22
120507,1.0521,23
120841,0.8626,24
149322,0.7621,25
118634,0.746,26
125498,0.5088,27
101207,0.2766,28
119093,0.2211,29
120842,0.1247,30
119092,0.0526,31
119599,-0.0944,32
119095,-0.1282,33
120844,-0.1877,34
102886,-0.3472,35
100016,-0.351,36
119120,-0.3768,37
118636,-0.6135,38
100025,-0.9418,39
101208,-1.681,40
